"kingdom","phylum","class","order","family","genus","species"
"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_graevenitzii"
"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Propionibacterium","Propionibacterium_acidifaciens"
"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_ph3"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_mutans"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_paragasseri"
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella_pneumoniae"
"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_epidermidis"
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia_coli"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_uniformis"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_ovatus"
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter_amalonaticus"
"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia_sp_BIOML_A66"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Ruminococcus_torques"
"Bacteria","Firmicutes","Clostridia","Peptostreptococcales","Anaerovoracaceae","Emergencia","Emergencia_timonensis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Sellimonas","Sellimonas_intestinalis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","Ruthenibacterium_lactatiformans"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","Eisenbergiella_tayi"
"Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella_lenta"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter_splanchnicus"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Bariatricus","Bariatricus_massiliensis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter_gnavus"
"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","Cloacibacillus_evryensis"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Thomasclavelia","Thomasclavelia_ramosa"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified","Clostridium_innocuum"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","Clostridium_symbiosum"
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter_farmeri"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_crispatus"
"Bacteria","Firmicutes","CFGB3012","OFGB3012","FGB3012","GGB9480","GGB9480_SGB14874"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Frisingicoccus","Frisingicoccus_caecimuris"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Evtepia","Evtepia_gabavorous"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_marasmi"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Claveliimonas","Claveliimonas_monacensis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptococcaceae","Peptococcus","Peptococcus_niger"
"Bacteria","Pseudomonadota","CFGB90573","OFGB90573","FGB90573","GGB36599","GGB36599_SGB9269"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor_plautii"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","Eisenbergiella_massiliensis"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_oris"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","Clostridium_scindens"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter","Dysosmobacter_welbionis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia","Marvinbryantia_SGB4691"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dielma","Dielma_fastidiosa"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter","Lawsonibacter_asaccharolyticus"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_vaginalis"
"Bacteria","Firmicutes","CFGB3057","OFGB3057","FGB3057","GGB9719","GGB9719_SGB15273"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Enterocloster_bolteae"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus_colihominis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Acutalibacteraceae","GGB38744","GGB38744_SGB14842"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Intestinimonas","Intestinimonas_massiliensis_ex_Afouda_et_al_2020"
"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB9715","GGB9715_SGB15260"
"Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_aerofaciens"
"Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Raoultibacter","Raoultibacter_massiliensis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","Hungatella_hathewayi"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Neglectibacter","Neglectibacter_timonensis"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_ihumii"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Copranaerobaculum","Copranaerobaculum_intestinale"
"Bacteria","Firmicutes","CFGB1292","OFGB1292","FGB1292","GGB3109","GGB3109_SGB4121"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Acutalibacteraceae","Acutalibacter","Acutalibacter_SGB14844"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Enterocloster_clostridioformis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes_caccae"
"Bacteria","Firmicutes","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Intestinibacter","Intestinibacter_bartlettii"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Lactonifactor","Lactonifactor_longoviformis"
"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenella","Christensenella_minuta"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Diplocloster","Diplocloster_agilis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_Family_XIII_Incertae_Sedis","GGB2980","GGB2980_SGB3962"
"Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus_grossensis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_producta"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia_hominis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Extibacter","Extibacter_muris"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Anaerotignaceae","GGB3818","GGB3818_SGB5183"
"Bacteria","Firmicutes","CFGB2906","OFGB2906","FGB2906","GGB9225","GGB9225_SGB14166"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Murimonas","Murimonas_intestini"
"Bacteria","Firmicutes","CFGB41334","OFGB41334","FGB41334","GGB42392","GGB42392_SGB71394"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_Family_XIII_Incertae_Sedis","GGB32387","GGB32387_SGB47381"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Thomasclavelia","Thomasclavelia_spiroformis"
"Bacteria","Firmicutes","CFGB3038","OFGB3038","FGB3038","GGB9532","GGB9532_SGB14933"
"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","bacterium_210917_DFI_7_65"
"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_ureolyticus"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_thermophilus"
"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera_massiliensis"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_vulgatus"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_finegoldii"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_bivia"
"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia_SGB17154"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_caccae"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_mitis"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_cristatus"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_wexlerae"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella_salivae"
"Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_longum"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_urinaemulieris"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_obeum"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_vestibularis"
"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia_meyeri"
"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia_sp_oral_taxon_221"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium_prausnitzii"
"Bacteria","Candidatus_Saccharibacteria","Candidatus_Saccharibacteria_unclassified","Candidatus_Saccharibacteria_unclassified","Candidatus_Saccharibacteria_unclassified","Candidatus_Saccharibacteria_unclassified","TM7_phylum_sp_oral_taxon_348"
"Bacteria","Firmicutes","Bacilli","Bacillales","Gemellaceae","Gemella","Gemella_morbillorum"
"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_johnsonii"
"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera_micronuciformis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoanaerobaculum","Lachnoanaerobaculum_orale"
"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_oris"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_histicola"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_incertae_sedis","Candidatus_Cibionibacter","Candidatus_Cibionibacter_quicibialis"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_oralis"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Hoylesella","Hoylesella_timonensis"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_merdae"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_distasonis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GGB3887","GGB3887_SGB5270"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Oribacterium","Oribacterium_sinus"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_sobrinus"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","Abiotrophia_defectiva"
"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter_pylori"
"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_striatum"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_stercoris"
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_aeruginosa"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_dorei"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_anginosus"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus","Lactiplantibacillus_plantarum"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_suis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira_eligens"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_thetaiotaomicron"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum_hallii"
"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Turicimonas","Turicimonas_muris"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea","Faecalitalea_cylindroides"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes_hadrus"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9724","GGB9724_SGB15278"
"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_aureus"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Gemmiger","Gemmiger_formicilis"
"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Candidatus_Borkfalkia","Candidatus_Borkfalkia_ceftriaxoniphila"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea_longicatena"
"Bacteria","Firmicutes","CFGB79330","OFGB79330","FGB79330","GGB3000","GGB3000_SGB3991"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Faecalicatena","Faecalicatena_contorta"
"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium_faecium"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter_glycyrrhizinilyticus"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_caecimuris"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_johnsonii"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_faecis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB36331","GGB36331_SGB15121"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_hydrogenotrophica"
"Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","Monoglobus_pectinilyticus"
"Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","GGB45432","GGB45432_SGB63101"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium_callanderi"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_putredinis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Enterocloster_citroniae"
"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","GGB4379","GGB4379_SGB6025"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GGB3518","GGB3518_SGB4697"
"Bacteria","Firmicutes","CFGB3038","OFGB3038","FGB3038","GGB9534","GGB9534_SGB14937"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified","Oscillospiraceae_bacterium"
"Bacteria","Firmicutes","CFGB2834","OFGB2834","FGB2834","GGB9063","GGB9063_SGB13982"
"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","GGB9098","GGB9098_SGB54305"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus_lactis"
"Bacteria","Firmicutes","CFGB38642","OFGB38642","FGB38642","GGB9770","GGB9770_SGB15389"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter_faecis"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_fragilis"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_finegoldii"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus_cremoris"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Vescimonas","Vescimonas_coprocola"
"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp_S6_Spd3"
"Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter_pamelaeae"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_agalactiae"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus_catus"
"Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus_vaginalis"
"Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Parvimonas","Parvimonas_micra"
"Bacteria","Firmicutes","CFGB2919","OFGB2919","FGB2919","GGB9241","GGB9241_SGB58519"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sp_AF36_4"
"Bacteria","Firmicutes","CFGB1126","OFGB1126","FGB1126","GGB2848","GGB2848_SGB3813"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_faecium"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_australis"
"Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia","Alloscardovia_omnicolens"
"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_haemolyticus"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","Abiotrophia_sp_HMSC24B09"
"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_amycolatum"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","Granulicatella_adiacens"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea_formicigenerans"
"Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_breve"
"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Arachnia","Arachnia_propionica"
"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_tuberculostearicum"
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_rhodesiae"
"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_lugdunensis"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_chongii"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_raffinosus"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_gasseri"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_portuensis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter_rectalis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus_comes"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum_soehngenii"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_massiliensis_ex_Durand_et_al_2017"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella_biformis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter_saccharivorans"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Faecalicatena","Faecalicatena_fissicatena"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella_brunsvicensis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Oliverpabstia","Oliverpabstia_intestinalis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia_faecis"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_onderdonkii"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella_porci"
"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB9715","GGB9715_SGB15265"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_glucerasea"
"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella_parvula"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Butyricicoccaceae","Agathobaculum","Agathobaculum_butyriciproducens"
"Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","GGB9365","GGB9365_SGB14341"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Hominenteromicrobium","Hominenteromicrobium_mulieris"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Gallintestinimicrobium","Gallintestinimicrobium_propionicum"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified","Eubacterium_siraeum"
"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","GGB73496","GGB73496_SGB5832"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella_clara"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Simiaoa","Simiaoa_sunii"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_massiliensis"
"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia_inulinivorans"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Eubacteriales_unclassified","Eubacteriales_unclassified_SGB15158"
"Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Senegalimassilia","Senegalimassilia_anaerobia"
